window,cv_nm,target_cv_nm,E1_kj_mol,E2_kj_mol,E2_shifted_kj_mol,Eevb_fitted_kj_mol,Eevb_no_alpha_kj_mol
0,-0.1352887242365143,-0.13545826862246726,-42623.24540818843,-2375.197040454137,-1901.3470941603246,-42623.24540818843,-42625.10397027299
1,-0.10708265277947607,-0.07186586479739172,-42813.57922530949,1793.4961825341475,2267.34612882796,-42813.5792176801,-42893.3475252214
2,-0.09481242736017667,-0.008273460972316182,-42960.60941515407,-1591.9589291855577,-1118.1089828917452,-42960.60942278346,-43031.15893010665
3,-0.08473618413247026,0.05531894285275937,-43040.25950429537,-105.53262229158543,368.3173240022271,-43040.25951955416,-43107.8642536873
4,-0.07736946746783857,0.1189113466778349,-43022.072643841384,189.91473235053144,663.764678644344,-43022.07266672957,-43187.8391897297
5,-0.07102974090084509,0.18250375050291043,-43105.69907513589,-2875.4618358281878,-2401.611889534375,-43105.699067506495,-43228.47079824531
6,-0.06623479465145153,0.246096154327986,-43157.41538247612,-1504.2383924890958,-1030.3884461952832,-43157.41539010552,-43216.056438115746
7,-0.06053481433225852,0.3096885581530615,-43192.34844545633,-1666.7744512923969,-1192.9245049985843,-43192.34843019754,-43278.024371052445
8,-0.05495952136640797,0.3732809619781371,-43205.68592875999,-2725.9637248295553,-2252.1137785357428,-43205.68592113059,-43282.02392451823
9,-0.05119895050696982,0.4368733658032127,-43179.8034078426,-2375.79763175651,-1901.9476854626973,-43179.8034078426,-43251.312228651295
10,-0.046380423302775836,0.5004657696282881,-43201.79959924901,-2389.403724690187,-1915.5537783963746,-43201.799591619616,-43221.5942712853
